DEVICE_ID|DEVICE_HOSTNAME|DEVICE_IP_STRING|DEVICE_SOURCE_ID|DEVICE_SOURCE_OS_NAME|ORG_L1_ID|ORG_ID|ORG_SOURCE_ID|SOURCE_DEV_ID|SOURCE_DEV_CUST_DEVICE_NAME|SOURCE_DEV_MACHINE_HOST_NAME|SOURCE_DEV_MACHINE_PLATFORM|SOURCE_DEV_CUST_ID|SOURCE_DEV_STATUS|SOURCE_DEV_SERVICE_NAME|SOURCE_DEV_MANUFACTURER|SOURCE_DEV_SOFTWARE_VERSION|SOURCE_DEV_SENSOR_TYPE|SOURCE_DEV_PRIMARY_FUNCTION|SOURCE_DEV_PRIMARY_APPLICATION|SOURCE_DEV_IDS_CONFIG_TYPE|SOURCE_DEV_NETWORK_SEG_TYPE|SOURCE_DEV_INLINE_APPLIANCE_MODE|SOURCE_DEV_STACKED_FLAG|SOURCE_DEV_MANAGED_BY|SOURCE_DEV_MONITORED_BY|SOURCE_DEV_CLUSTER_FW_NAME|SOURCE_DEV_IDS_CONFIG_TYPE2|SOURCE_DEV_FW_TYPE_AND_VER|SOURCE_DEV_DEFAULT_GATEWAY|SOURCE_DEV_IP_EXT_STRING|SOURCE_DEV_OS_NAME|SOURCE_DEV_NLR_THRESHOLD|SOURCE_DEV_POLL_PERIOD|SOURCE_DEV_SITE_NAME|SOURCE_DEV_SITE_ID|SOURCE_DEV_DATA_RETENTION_PERIOD|SOURCE_DEV_INDEX_RETENTION_PERIOD|SOURCE_DEV_TIMEZONE|SOURCE_CUST_ID|SOURCE_CUST_NAME|SOURCE_CUST_PARTNER_ID|SOURCE_CUST_PARTNER_NAME|SOURCE_CUST_CATEGORY|SOURCE_CUST_INDUSTRY|SOURCE_CUST_REGULATED|SOURCE_CUST_MIDS|SOURCE_CUST_NUM_IDS|SOURCE_CUST_MPS|SOURCE_CUST_MFS|SOURCE_CUST_NUM_FW|SOURCE_CUST_SELM|SOURCE_CUST_VMS|SOURCE_CUST_NUM_EXT_IP|SOURCE_CUST_NUM_INT_IP|SOURCE_CUST_NUM_SCANNERS|SOURCE_CUST_LMS|SOURCE_CUST_EAM|SOURCE_CUST_NUM_DEVICES|SOURCE_CUST_THIRD_PARTY|SOURCE_CUST_SERVICE_NAME|SOURCE_CUST_SIA|SOURCE_CUST_SIA_NAME|SOURCE_CUST_PCI_DSS|SOURCE_CUST_HIPAA|SOURCE_CUST_GLBA|SOURCE_CUST_MRR|SOURCE_CUST_STATUS|INDUSTRY_ID|IND_SECTION_CD|IND_SECTION_NAME|IND_SECTION_SHORT_NAME|IND_DIVISION_CD|IND_DIVISION_NAME|IND_DIVISION_SHORT_NAME|CONS_DB_IP_STRING|CONS_DB_HOSTNAME|FW_DB_IP_STRING|FW_DB_HOSTNAME|LMS_AGG_IP_STRING|LMS_AGG_HOSTNAME
|0015-pos1|10.226.190.61|SA0000000730375|windows 2000 server|8578|8578|CIDD706804|SA0000000730375|0015-pos1|0015-pos1|Other|CIDD706804|inactive|selm - host - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos1|10.226.190.61|SA0000000736349|windows 2000 server|8578|8578|CIDD706804|SA0000000736349|0015-pos1|0015-pos1|Other|CIDD706804|inactive|selm - host - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos1|10.226.187.61|SA0000000742407|other|8578|8578|CIDD706804|SA0000000742407||0015-pos1|Other|CIDD706804|inactive|selm standard|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos1|10.226.187.61|SA0000000742507|windows 2003|8578|8578|CIDD706804|SA0000000742507|0015-pos1|0015-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos2|10.227.72.62|P00000008021518|windows 2003|8578|8578|CIDD706804|P00000008021518|0015-pos2a|0015-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos2|10.226.190.62|SA0000000736348|windows 2000 server|8578|8578|CIDD706804|SA0000000736348|0015-pos2|0015-pos2|Other|CIDD706804|inactive|selm - host - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos2|10.226.187.62|SA0000000742510|windows 2003|8578|8578|CIDD706804|SA0000000742510|0015-pos2|0015-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos2|10.226.187.62|STG000007020329|windows 2000 server|8578|8578|CIDD706804|STG000007020329|0015-pos2|0015-pos2|Other|CIDD706804|inactive|selm - host - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos3|10.226.187.63|SA0000000742237|other|8578|8578|CIDD706804|SA0000000742237|0015-pos3|0015-pos3|Other|CIDD706804|inactive|selm standard|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos3|10.226.190.61|SA0000000742511|windows 2003|8578|8578|CIDD706804|SA0000000742511|0015-pos3|0015-pos3|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0015-pos4|10.226.190.62|SA0000000742509|windows 2003|8578|8578|CIDD706804|SA0000000742509|0015-pos4|0015-pos4|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0016-0000|10.224.3.70|SA0000000735277|windows 2000 server|8578|8578|CIDD706804|SA0000000735277|0016-0000|0016-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0016-pos1|10.224.3.61|SA0000000735278|windows 2000 server|8578|8578|CIDD706804|SA0000000735278|0016-pos1|0016-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0016-pos2|10.224.3.62|SA0000000735276|windows 2000 server|8578|8578|CIDD706804|SA0000000735276|0016-pos2|0016-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0023-2093|10.224.4.70|SA0000000734494|windows 2000 server|8578|8578|CIDD706804|SA0000000734494|0023-2093|0023-2093|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0023-pos1|10.224.4.61|SA0000000734493|windows 2000 server|8578|8578|CIDD706804|SA0000000734493|0023-pos1|0023-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0023-pos2|10.224.4.62|SA0000000734495|windows 2000 server|8578|8578|CIDD706804|SA0000000734495|0023-pos2|0023-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0036-0000|10.224.5.70|SA0000000733830|windows 2000 server|8578|8578|CIDD706804|SA0000000733830|0036-0000|0036-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0036-pos1|10.224.5.61|SA0000000733823|windows 2000 server|8578|8578|CIDD706804|SA0000000733823|0036-pos1|0036-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0036-pos2|10.224.5.62|SA0000000733831|windows 2000 server|8578|8578|CIDD706804|SA0000000733831|0036-pos2|0036-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0049-0000|10.224.6.70|SA0000000732014|windows 2000 server|8578|8578|CIDD706804|SA0000000732014|0049-0000|0049-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0049-pos1|10.224.6.61|SA0000000732586|windows 2000 server|8578|8578|CIDD706804|SA0000000732586|0049-pos1|0049-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0049-pos2|10.224.6.62|SA0000000732587|windows 2000 server|8578|8578|CIDD706804|SA0000000732587|0049-pos2|0049-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0081-0000|10.224.8.70|SA0000000733700|windows 2000 server|8578|8578|CIDD706804|SA0000000733700|0081-0000|0081-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0081-pos1|10.224.8.61|SA0000000733699|windows 2000 server|8578|8578|CIDD706804|SA0000000733699|0081-pos1|0081-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0110-2458|10.224.9.70|SA0000000732043|windows 2000 server|8578|8578|CIDD706804|SA0000000732043|0110-2458|0110-2458|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0110-pos1|10.224.9.61|SA0000000732591|windows 2000 server|8578|8578|CIDD706804|SA0000000732591|0110-pos1|0110-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0110-pos2|10.224.9.62|SA0000000732590|windows xp pro|8578|8578|CIDD706804|SA0000000732590|0110-pos2|0110-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0119-2010|10.224.10.70|SA0000000733799|windows 2000 server|8578|8578|CIDD706804|SA0000000733799|0119-2010|0119-2010|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0119-pos1|10.224.10.61|SA0000000733800|windows 2000 server|8578|8578|CIDD706804|SA0000000733800|0119-pos1|0119-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|0119-pos2|10.224.10.62|SA0000000733798|windows 2000 server|8578|8578|CIDD706804|SA0000000733798|0119-pos2|0119-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
